City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Bhunya,SZ,2022-09-12 09:02:23,-26.55,31.0167,63.97,73,100,6.89
178,Havre-Saint-Pierre,CA,2022-09-12 09:02:23,50.2334,-63.5986,46.76,100,100,2.3
179,Boa Vista,BR,2022-09-12 08:58:45,2.8197,-60.6733,75.18,87,75,3.44
180,Guatire,VE,2022-09-12 09:03:24,10.4762,-66.5427,70.02,96,26,2.35
181,Khorixas,NA,2022-09-12 09:03:24,-20.3667,14.9667,84.67,13,0,13.4
182,Itacoatiara,BR,2022-09-12 09:02:28,-3.1431,-58.4442,78.91,52,90,2.89
183,Taltal,CL,2022-09-12 09:00:20,-25.4,-70.4833,52.99,74,0,2.62
184,Turukhansk,RU,2022-09-12 09:03:25,65.8167,87.9833,46.42,46,100,10.65
185,Romitan,UZ,2022-09-12 09:03:25,39.9343,64.3814,75.15,20,0,13.8
186,Shetpe,KZ,2022-09-12 09:03:25,44.1667,52.1167,73.29,20,17,18.25
187,Richards Bay,ZA,2022-09-12 09:03:26,-28.783,32.0377,64.81,83,100,14.43
188,Pisco,PE,2022-09-12 09:03:26,-13.7,-76.2167,55.02,87,59,3.44
189,Hualmay,PE,2022-09-12 09:03:27,-11.0964,-77.6139,58.93,86,68,8.37
190,Saint-Georges,GD,2022-09-12 09:03:27,12.0564,-61.7485,80.94,79,10,12.44
191,Gat,IL,2022-09-12 09:03:27,31.61,34.7642,90.39,26,0,7.47
192,Kushva,RU,2022-09-12 09:03:28,58.2906,59.7592,55.04,50,78,4.03
193,Hornepayne,CA,2022-09-12 09:03:28,49.2138,-84.7705,48.99,76,96,2.01
194,Cidreira,BR,2022-09-12 09:03:28,-30.1811,-50.2056,56.93,82,30,14.32
195,Lokosovo,RU,2022-09-12 09:03:29,61.1333,74.8167,51.1,52,87,8.72
196,Muisne,EC,2022-09-12 09:03:29,0.6,-80.0333,72.77,87,100,11.45
197,Port Elizabeth,ZA,2022-09-12 09:03:29,-33.918,25.5701,61.11,68,20,21.85
198,Okhtyrka,UA,2022-09-12 09:03:30,50.3104,34.8988,67.55,35,100,3.98
199,Road Town,VG,2022-09-12 09:02:41,18.4167,-64.6167,82.67,74,9,10.38
200,Kodino,RU,2022-09-12 09:00:50,63.7198,39.6447,53.06,59,100,7.25
201,Cuamba,MZ,2022-09-12 09:03:30,-14.8031,36.5372,86.27,27,1,6.46
202,Kuruman,ZA,2022-09-12 09:03:30,-27.4524,23.4325,68.23,21,69,15.08
203,Jutai,BR,2022-09-12 09:03:31,-5.1833,-68.9,71.53,98,99,1.86
204,Torbay,CA,2022-09-12 09:03:31,47.6666,-52.7314,58.75,97,100,16.11
205,Lepe,ES,2022-09-12 09:03:31,37.2548,-7.2043,71.11,81,100,6.98
206,Rasht,IR,2022-09-12 09:03:32,37.2808,49.5832,82.22,57,40,4.61
207,Roald,NO,2022-09-12 09:03:32,62.5833,6.1333,61.16,87,20,3.44
208,Moussoro,TD,2022-09-12 09:03:32,13.6408,16.4901,90.81,47,60,12.5
209,Miajadas,ES,2022-09-12 09:03:33,39.1513,-5.9084,77.52,47,100,9.04
210,Salekhard,RU,2022-09-12 09:03:33,66.53,66.6019,48.6,58,100,10.02
211,Bambous Virieux,MU,2022-09-12 09:03:33,-20.3428,57.7575,77.22,63,3,12.55
212,Bournemouth,GB,2022-09-12 09:03:34,50.7205,-1.8795,69.71,88,0,4.61
213,Bilecik,TR,2022-09-12 09:03:34,40.0,30.1667,74.08,65,77,10.18
214,Alghero,IT,2022-09-12 09:03:34,40.5589,8.3181,82.49,57,20,3.44
215,Manacapuru,BR,2022-09-12 08:59:51,-3.2997,-60.6206,78.58,63,26,1.54
216,Sitrah,BH,2022-09-12 09:03:35,26.1547,50.6206,111.42,18,0,11.5
217,Lima,PE,2022-09-12 09:01:45,-12.0432,-77.0282,59.9,86,99,4.41
218,Aqtobe,KZ,2022-09-12 09:03:35,50.2797,57.2072,57.29,47,0,2.24
219,San Matias,BO,2022-09-12 09:03:35,-16.3667,-58.4,74.75,42,53,1.81
220,Clyde River,CA,2022-09-12 09:03:36,70.4692,-68.5914,37.63,100,100,11.5
221,Bhainsa,IN,2022-09-12 09:03:36,26.9548,76.9012,92.71,46,100,7.63
222,Saint George,US,2022-09-12 09:00:48,37.1041,-113.5841,76.95,46,0,3.44
223,Castro,BR,2022-09-12 09:03:37,-24.7911,-50.0119,52.57,98,100,3.04
224,Ornskoldsvik,SE,2022-09-12 09:03:37,63.2909,18.7153,56.35,58,0,10.36
225,Piacabucu,BR,2022-09-12 09:03:37,-10.4056,-36.4344,71.92,82,4,6.04
226,Awash,ET,2022-09-12 09:04:38,8.9833,40.1667,89.98,34,18,4.79
227,Buraydah,SA,2022-09-12 09:04:38,26.326,43.975,106.57,7,0,5.03
228,Sao Jose Da Coroa Grande,BR,2022-09-12 09:04:38,-8.8978,-35.1478,73.27,79,17,7.38
229,Haputale,LK,2022-09-12 09:04:39,6.7681,80.9595,79.18,43,35,5.3
230,Mogadishu,SO,2022-09-12 09:04:39,2.0371,45.3438,79.93,74,68,18.59
231,Geraldton,AU,2022-09-12 09:02:42,-28.7667,114.6,70.21,68,40,18.41
232,Imbituva,BR,2022-09-12 09:04:39,-25.23,-50.6044,53.4,99,100,3.27
233,Qaqortoq,GL,2022-09-12 09:04:40,60.7167,-46.0333,44.96,88,98,2.8
234,Paragominas,BR,2022-09-12 09:04:14,-2.9667,-47.4833,70.27,97,87,2.28
235,At-Bashi,KG,2022-09-12 09:04:40,41.1702,75.8106,66.07,39,69,5.14
236,Vila Franca Do Campo,PT,2022-09-12 09:04:40,37.7167,-25.4333,72.01,78,80,18.63
237,Saint-Pierre,RE,2022-09-12 09:04:41,-21.3393,55.4781,78.19,60,20,23.02
238,Port Shepstone,ZA,2022-09-12 09:04:41,-30.7414,30.455,62.71,76,100,21.07
239,Glasgow,GB,2022-09-12 09:01:17,55.8652,-4.2576,61.81,85,75,11.01
240,Hit,IQ,2022-09-12 09:04:41,33.6416,42.8251,104.32,11,0,4.59
241,Upernavik,GL,2022-09-12 09:04:42,72.7868,-56.1549,41.31,97,100,5.82
242,Mehamn,NO,2022-09-12 09:04:42,71.0357,27.8492,42.75,87,75,6.91
243,Morant Bay,JM,2022-09-12 09:04:42,17.8815,-76.4093,80.22,82,81,4.85
244,Mongagua,BR,2022-09-12 09:04:43,-24.0931,-46.6208,64.65,88,100,4.23
245,Vredendal,ZA,2022-09-12 09:04:43,-31.6683,18.5012,62.44,40,0,3.53
246,Shirwal,IN,2022-09-12 09:04:43,18.1333,73.9833,74.16,94,100,4.47
247,Santa Rosa,PH,2022-09-12 09:04:08,14.3122,121.1114,87.12,75,100,12.28
248,Podgorica,ME,2022-09-12 09:04:44,42.4411,19.2636,78.3,31,20,17.27
249,Arlit,NE,2022-09-12 09:04:44,18.7369,7.3853,96.75,9,23,3.76
250,General Roca,AR,2022-09-12 09:04:44,-39.0333,-67.5833,49.62,52,1,6.82
251,Sarkand,KZ,2022-09-12 09:04:45,45.41,79.9186,69.28,30,47,8.93
252,Gambela,ET,2022-09-12 09:04:45,8.25,34.5833,87.28,57,81,1.9
253,Vryburg,ZA,2022-09-12 09:00:58,-26.9566,24.7284,71.69,17,8,15.43
254,Marawi,PH,2022-09-12 09:04:45,7.9986,124.2928,74.26,91,67,1.63
255,Inirida,CO,2022-09-12 09:04:46,3.8653,-67.9239,72.57,98,95,1.45
256,Sao Joao Da Barra,BR,2022-09-12 09:04:46,-21.6403,-41.0511,67.86,78,100,3.74
257,Quatre Cocos,MU,2022-09-12 09:04:46,-20.2078,57.7625,77.09,62,4,13.38
258,Bonavista,CA,2022-09-12 09:04:47,48.6499,-53.1147,58.14,98,100,21.61
259,Praia,CV,2022-09-12 09:04:47,14.9215,-23.5087,78.84,77,77,13.73
260,Marystown,CA,2022-09-12 09:04:47,47.1666,-55.1483,58.1,96,100,25.03
261,Liwale,TZ,2022-09-12 09:04:48,-9.7667,37.9333,86.63,32,45,4.23
262,Leh,IN,2022-09-12 09:04:48,34.1667,77.5833,64.06,24,11,6.02
263,Maun,BW,2022-09-12 09:04:48,-19.9833,23.4167,91.49,6,0,6.35
264,Talnakh,RU,2022-09-12 09:04:49,69.4865,88.3972,35.38,98,100,11.16
265,Santa Fe,AR,2022-09-12 09:04:49,-31.6333,-60.7,49.01,75,0,1.01
266,Campana,AR,2022-09-12 09:01:19,-34.1687,-58.9591,46.11,86,37,2.28
267,Isiro,CD,2022-09-12 09:04:50,2.7739,27.616,70.16,94,100,3.98
268,Atyrau,KZ,2022-09-12 09:04:50,47.1167,51.8833,69.82,26,0,13.42
269,Baoma,CN,2022-09-12 09:04:50,31.4859,106.1128,86.29,47,1,1.72
270,Neftekumsk,RU,2022-09-12 09:04:51,44.6667,44.9167,82.85,39,42,18.52
271,Kautokeino,NO,2022-09-12 09:04:51,69.0125,23.0412,44.53,63,78,14.65
272,Labrea,BR,2022-09-12 09:04:51,-7.2586,-64.7981,73.42,84,96,1.32
273,Biograd Na Moru,HR,2022-09-12 09:04:51,43.9433,15.4519,77.76,39,0,6.46
274,Sao Filipe,CV,2022-09-12 09:04:52,14.8961,-24.4956,77.83,77,8,15.32
275,Mana,GF,2022-09-12 09:04:52,5.6592,-53.7767,76.21,88,14,3.2
276,Galle,LK,2022-09-12 09:05:53,6.0367,80.217,81.48,76,50,12.77
277,Hakkari,TR,2022-09-12 09:05:53,37.5833,44.1667,78.58,17,0,5.75
278,Cartagena,CO,2022-09-12 09:04:06,10.3997,-75.5144,78.42,83,75,4.61
279,Krasnoselkup,RU,2022-09-12 09:05:53,65.7,82.4667,41.0,93,100,13.13
280,Koungou,YT,2022-09-12 09:05:54,-12.7336,45.2042,83.91,61,75,9.22
281,Halmstad,SE,2022-09-12 09:05:54,56.6745,12.8568,62.02,82,0,4.61
282,Murdochville,CA,2022-09-12 09:05:54,48.9583,-65.5006,54.9,88,77,2.66
