City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Pendencias,BR,72.3,few clouds,-5.26,-36.7222,Cabanas Pousada
150,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
155,Aracati,BR,73.81,scattered clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
157,Premia De Mar,ES,79.32,light rain,41.4921,2.3652,Hotel Vila de Premià
161,San Jose Del Guaviare,CO,70.79,scattered clouds,2.5729,-72.6459,Hotel Aeropuerto
163,Sao Jose Da Coroa Grande,BR,72.46,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
168,Saint Marys,US,76.01,clear sky,30.7305,-81.5465,Spencer House Inn by Brham
169,Vitry-Le-Francois,FR,72.01,overcast clouds,48.7333,4.5833,Hôtel Tambourin
175,Sambava,MG,77.05,broken clouds,-14.2667,50.1667,Melrose
178,Baglung,NP,77.31,overcast clouds,28.2719,83.5898,Hotel Peace Palace
179,Port Shepstone,ZA,70.3,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
185,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,Le four à pain
186,Ipixuna,BR,72.03,clear sky,-1.7625,-48.8043,Chalé do Mato
190,Mananara,MG,77.14,broken clouds,-16.1667,49.7667,Chez Roger
