City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Beruwala,LK,6.4788,79.9828,82.11,74,96,8.97,overcast clouds
208,Castro,BR,-24.7911,-50.0119,59.16,99,100,1.72,light rain
209,Matara,LK,5.9485,80.5353,84.42,68,88,10.92,overcast clouds
210,Halden,NO,59.1226,11.3871,59.43,56,39,5.44,scattered clouds
211,Marathon,US,44.9,-89.7668,55.11,95,100,5.75,overcast clouds
212,Nanortalik,GL,60.1432,-45.2371,43.74,78,2,3.67,clear sky
213,Pechenga,RU,69.5259,31.1703,42.64,80,100,10.42,light rain
214,Mitu,CO,1.1983,-70.1733,70.09,99,75,1.32,broken clouds
215,Tessalit,ML,20.1986,1.0114,96.37,24,79,15.97,broken clouds
216,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,98,8,5.95,clear sky
217,Eyl,SO,7.9803,49.8164,91.33,46,97,23.94,overcast clouds
218,Makueni,KE,-1.8041,37.6203,78.24,38,82,7.74,broken clouds
219,Luau,AO,-10.7073,22.2247,89.15,18,57,12.28,broken clouds
220,Lebanon,US,36.2081,-86.2911,65.28,96,0,0.0,clear sky
221,Grand Bend,CA,43.3168,-81.7498,67.87,90,9,8.01,clear sky
222,Coari,BR,-4.085,-63.1414,71.4,96,78,2.1,broken clouds
223,Hit,IQ,33.6416,42.8251,97.88,19,0,13.85,clear sky
224,Bilma,NE,18.6853,12.9164,99.27,16,7,5.73,clear sky
225,Maniitsoq,GL,65.4167,-52.9,41.63,95,100,16.55,moderate rain
226,Oksfjord,NO,70.2396,22.3479,42.98,68,100,7.49,overcast clouds
227,Andenes,NO,69.3143,16.1194,48.18,76,75,27.63,broken clouds
228,Kruisfontein,ZA,-34.0033,24.7314,72.88,26,0,9.66,clear sky
229,Boca Do Acre,BR,-8.7522,-67.3978,71.22,91,98,2.48,overcast clouds
230,Balkhash,KZ,46.844,74.9804,65.01,20,0,15.66,clear sky
231,Westport,US,41.1415,-73.3579,66.18,85,5,4.0,clear sky
232,Ostrovnoy,RU,68.0531,39.5131,54.12,80,100,20.56,overcast clouds
233,La Maddalena,IT,41.2142,9.4083,82.56,61,92,9.06,overcast clouds
234,Madimba,TZ,-10.4,40.3333,84.13,50,34,13.73,scattered clouds
235,Zamosc,PL,50.7231,23.252,64.04,67,100,13.11,overcast clouds
236,Kozachi Laheri,UA,46.7037,32.9776,68.0,44,61,14.67,broken clouds
237,Bubaque,GW,11.2833,-15.8333,77.65,89,100,15.26,moderate rain
238,Scarborough,GB,54.2797,-0.4044,58.15,82,98,1.99,overcast clouds
239,Kotri,PK,25.366,68.3122,102.96,31,35,12.08,scattered clouds
240,Uvinza,TZ,-5.1036,30.3911,84.34,32,88,9.22,overcast clouds
241,Atar,MR,20.5169,-13.0499,93.67,28,91,11.68,overcast clouds
242,Isiro,CD,2.7739,27.616,72.88,85,100,3.47,overcast clouds
243,Coromandel,BR,-18.4733,-47.2003,65.84,36,5,4.43,clear sky
244,Colombo,LK,6.9319,79.8478,85.95,74,98,10.83,overcast clouds
245,Kez,RU,57.8979,53.7152,59.29,46,100,9.26,overcast clouds
246,Sao Filipe,CV,14.8961,-24.4956,79.2,82,26,8.03,scattered clouds
247,Limon,CR,10.0,-83.0333,76.05,84,100,7.05,overcast clouds
248,Mokshan,RU,53.4365,44.6132,56.86,74,90,15.32,overcast clouds
